term,score
aire acondicionado,23.947694375893835
agua caliente,15.316059222464313
hotel bonito,12.633424801337618
habitaciones limpias,11.682827454632012
personal recepción,10.677976062923374
habitación limpia,8.627444774807417
check in,7.975089883058811
desayuno incluido,7.590692816246208
personal hotel,7.379760815289183
cuarto baño,6.759741507183157
hotel personal,6.44617788175375
habitaciones amplias,5.882016740017365
hotel situado,5.863449997805248
hotel habitaciones,5.829143299594721
dreams tulum,5.810704857771652
hotel excelente,5.67142336534681
hotel ubicación,5.606929316643597
hotel viejo,5.424149891696473
comida restaurante,5.360834673404751
hotel estrellas,5.353588546102699
hotel limpio,5.208807367491518
personal amable,5.18802622213918
ubicación hotel,5.101812645003295
cerca centro,5.096780677810242
hotel habitación,5.086972828931031
hotel agradable,5.058194828870949
habitaciones pequeñas,4.808931631250385
general hotel,4.784418192575124
servicio hotel,4.766456249165767
camas dobles,4.538343849589343
camas cómodas,4.475173577551319
servicio habitación,4.269263097290886
habitaciones hotel,4.139170677818433
servicio personal,4.114748095092719
wi fi,4.049650133029751
ropa cama,4.038342115304693
pasar noche,4.02175681696861
noche hotel,4.013541060268814
lugar agradable,3.974149049194404
estancia hotel,3.9144064362484166
personal servicial,3.8953795069917674
hotel noche,3.8150166930976424
habitaciones cómodas,3.75618979528085
llegamos hotel,3.721336896041766
luna miel,3.7082120063507453
hotel ubicado,3.681020046021468
hotel instalaciones,3.6601082018117888
noches hotel,3.597041661906275
sitio web,3.5398028639449763
habitación habitación,3.437926907637361
planta baja,3.4315617425029643
alojamos noches,3.4175754789026644
habitación baño,3.3758169551646766
noche habitación,3.318996080515407
camas duras,3.29638397527366
caja fuerte,3.269341732103782
hotel pequeño,3.26815039733843
vale pena,3.2545871934930535
llegar hotel,3.2297604646163958
habitaciones sencillas,3.2250935063284767
alojamos noche,3.21493129868741
habitación camas,3.204872842576452
hotel servicio,3.2047553237811472
habitación pequeña,3.1691778081835693
servicio lento,3.163033325647526
presión agua,3.1357809070018265
habitaciones básicas,3.114777471690318
baño habitación,3.108550619506942
pasar semana,3.106259954989903
hotel lindo,3.054998261618997
cama cómoda,3.0014578241860925
cambiaron habitación,2.991366779661979
tuvimos problemas,2.9900569248164772
estuvimos noche,2.9808084753489843
hotel boutique,2.9627192999338288
habíamos reservado,2.9586067211676044
instalaciones limpias,2.954585306272244
habitación hotel,2.9531717610247603
centro ciudad,2.9277608659520697
conexión wi,2.822780242779714
amable habitaciones,2.8080934014754693
disfrutamos estancia,2.7935653955828093
cama king,2.761327584690412
cama dura,2.750774517008089
amable servicial,2.7271453332232274
cama doble,2.7088425475523077
camas almohadas,2.6988612477108584
hotel tranquilo,2.6871105651963734
ruinas palenque,2.678293741026923
personal restaurante,2.667827776796953
reservado habitación,2.654607080200254
duda hotel,2.6328994816412115
minutos centro,2.6291322621579036
cuartos limpios,2.624682360860384
habitación cama,2.6244766075517343
acondicionado habitación,2.556847455510347
distancia pie,2.5386564068347903
desayuno buffet,2.5315753546852426
habitación servicio,2.5249506996766478
