Topic,Mutual Information,Top Terms
4,0.32470861644877913,"hotel, habitación, muy, habitaciones, las, el, del, personal, en, está"
2,0.1972572034292479,"es, te, hay, se, si, las, ruinas, playa, lo, son"
0,0.10018924460093293,"de, la, que, el, en, es, no, un, muy, una"
1,0.07333795148574418,"muy, es, comida, lugar, buena, servicio, excelente, buen, el, atención"
3,0.051268258911738585,"de, un, playa, la, en, una, ruinas, las, ciudad, gran"
8,0.03740704086600455,"muy, nos, para, que, con, un, lugar, una, al, excelente"
16,0.031221227271779783,"en, las, una, más, se, buena, ruinas, restaurante, pero, mi"
10,0.03016216588191889,"muy, me, el, de, todo, playa, esta, que, se, mi"
33,0.0264697981007338,"su, son, del, no, precios, sus, hay, mejor, muy, atención"
11,0.022072217142551365,"que, es, son, lo, me, excelente, una, los, este, playa"
