term,score
vale pena,13.486108469448627
ruinas tulum,9.139095177776815
ruinas mayas,7.479572935133369
playa carmen,6.4336645599850835
chichen itza,6.1265516280816845
agua cristalina,5.733490892683514
pesos persona,5.4883382927216235
tomar fotos,5.113929011743169
cultura maya,4.95897197546849
aire acondicionado,4.818001807142243
servicio lento,4.7638723903856
traje baño,4.5916925518933
lleno gente,4.366365022502123
comida servicio,4.340423358317224
agua clara,4.33316345514523
cenote bonito,4.2804185152235315
personal amable,4.243534683349836
zona arqueológica,4.204554097612537
comida rica,4.128245825986639
excelente servicio,4.102435662693132
visita guiada,4.057682261245502
ruinas playa,3.9674278551709694
protector solar,3.8983023425533805
punta sur,3.895277840753659
merece pena,3.8665883578067217
llena gente,3.864438235503127
servicio comida,3.7927702685686633
agua azul,3.7634663852251133
cenote hermoso,3.6947731273077427
playa llena,3.6509280798135677
150 pesos,3.5813149265378335
pequeño museo,3.5433188980134114
playa paraíso,3.5272624296124
excursión guiada,3.5221112052129886
50 pesos,3.4593676793450863
playa paraiso,3.387812338141163
vendedores ambulantes,3.3685965715515125
25 pesos,3.262008872458682
visita obligada,3.231484964452479
riviera maya,3.215081060284579
precio entrada,3.173521984515938
guía turístico,3.1390300801968856
pena viaje,3.1374889564640394
costo entrada,3.0920357511798553
pena visitar,2.9902024290571334
puedes subir,2.9434093049698595
color agua,2.8643993185224472
lugar comida,2.7669898077525814
pesos entrada,2.748482860858563
cenote increíble,2.748391482154275
comida deliciosa,2.7258154207409904
interesante historia,2.7025321449079422
paseo caballo,2.693221270074154
zona arqueologica,2.6869357823295235
cerca valladolid,2.6777618323985077
mar turquesa,2.6632013840883384
lugar vale,2.651502552752361
caminar ruinas,2.6511244927739765
historia maya,2.5850038150888737
solar agua,2.5817641820177717
chaleco salvavidas,2.509983742566422
servicio excelente,2.503969480959805
playa hermosa,2.4772266660258735
paraã so,2.4735026198583228
hotel bonito,2.4601857598422097
tomar baño,2.440031835972127
agua dulce,2.4350376315076714
chalecos salvavidas,2.4305646142005957
tienes oportunidad,2.429665889305759
maã ana,2.3734721038672713
pena pagar,2.370931709089661
excelente comida,2.3615703819014047
historia cultura,2.3539897382853825
lugar interesante,2.351993205768068
vistas increíbles,2.349967289491875
playa concurrida,2.3488098965568787
entrar agua,2.3427960764367963
bonitas vistas,2.3348686466533968
visto vida,2.3175551959226444
lugar imperdible,2.3150569305860005
estã bamos,2.2910572978898536
tarifa entrada,2.2903678743867673
lugares interesantes,2.2896047212875934
lugar nadar,2.2847272198343487
camino vuelta,2.28396946891444
playa nadar,2.2759835187019126
hermosa playa,2.2586118815657295
tour guiado,2.2556890720943366
escalones llegar,2.246481548954977
vida mayas,2.2418089407207726
montón gente,2.241218307635341
corto trayecto,2.231750497942495
lugar agradable,2.2231503256332
ropa cómoda,2.215482302319735
explica historia,2.212226340285942
pesos entrar,2.208787839458118
animales jardines,2.2006066554693455
paseo ruinas,2.191540211396827
agua fría,2.190282540945545
ruinas impresionantes,2.1820265846588933
sillas sombrillas,2.1816635449406654
pagar entrada,2.1714600659047227
único vale,2.1662975359412444
pueblo mágico,2.1591467817958687
peces tortugas,2.1452351324953107
playa vale,2.139571440817228
tulum ruinas,2.1244256285428085
bloqueador solar,2.122539141612532
visitar ruinas,2.106795805296506
ambiente agradable,2.103315873716851
agua transparente,2.090697229903844
calidad comida,2.0870308158108
habitaciones limpias,2.0705916708022203
comida excelente,2.066111596726325
pasar tiempo,2.063061040188158
playa ruinas,2.0599960258821817
protección solar,2.0515021896016536
valga pena,2.034930278978175
agua caliente,2.0147703932702328
carmen tulum,2.0085246053926054
cruz roja,2.006514610791268
fría lugar,2.000778234819946
agradable lleno,1.99624631728835
carrito golf,1.9912872794984091
ruinas guía,1.9876086174738774
pirámide sol,1.986852507569641
playa agua,1.984544368390603
playa mã,1.979096350700734
aprender historia,1.9790462296265388
lugar puedes,1.9728875601712184
playa estã,1.9724455765582842
calzado cómodo,1.9659795728848997
agua bloqueador,1.9612832349494176
playa bonita,1.9599295600844218
tiendas artesanías,1.9594196314607841
hermoso cenote,1.944070281880001
pirámides sol,1.9430686673837871
entrada gratuita,1.9364740934204328
65 pesos,1.9168066581562857
playa preciosa,1.8948692518115378
bares playa,1.89300056869732
personal recepción,1.892498060317458
aguas azules,1.8884803290408287
aguas cristalinas,1.8856121961428225
calidad alimentos,1.8794739039746442
condición física,1.875257432248141
vida espero,1.8730334775667314
entrada ruinas,1.8711604317073407
méxico maravilla,1.863957275660014
350 pesos,1.8611967224797197
bajar playa,1.857875471764331
artesanías productos,1.8548167637789557
comida restaurante,1.850018156878896
cobran entrada,1.8460016944457398
agua playa,1.841121198015617
bonito agua,1.8405082791087248
mã bonita,1.8388905489842489
comida mala,1.8378027442627993
pequeño bonito,1.8292175419800778
agradable comida,1.8268261681089493
quieres nadar,1.8265779873349346
pena subir,1.824937012675207
únicas ruinas,1.8174255084890034
museo pequeño,1.8118281629255506
museo puedes,1.8071519462928882
formaciones rocosas,1.8042709329196631
playas hermosas,1.8020007338775434
entrada gratis,1.8000860296549548
persona cenote,1.7917228184365883
cantidad turistas,1.787607019913789
mejores playas,1.7855207900130436
comida regular,1.7840892367886756
sol insoportable,1.7791504548029646
llegar playa,1.7751029044728055
llegar cima,1.774929346009029
pena paseo,1.7737293321032492
darse vuelta,1.7720632719021585
clima agradable,1.770285207085863
lentes sol,1.7691914551921344
museo sitio,1.7674823450200656
lugar conservado,1.760811232544186
evitar multitudes,1.7582640962388258
ruinas lugar,1.7544677142775118
playa limpia,1.7483266807926021
pena visita,1.7318956549358404
mar ruinas,1.7317409047669972
experiencia puedes,1.7249347500152568
cerca ciudad,1.7233260904404637
ciudad maya,1.7206127405409826
lleno vendedores,1.718312873508924
historia lugar,1.7181713258800313
playas cercanas,1.7154828757386706
interesante vista,1.7094668662876868
hicimos recorrido,1.7052577873890233
amable servicial,1.7036821359685428
ganas caminar,1.7018909748388211
tomar fotografías,1.7018849128569566
tipos tequila,1.698234564928294
excelente atención,1.6934572602913764
música vivo,1.6901824430596695
montón fotos,1.6880995122785167
historia fascinante,1.6877423384156711
recorrido bonito,1.68482808359511
nadar cenote,1.6813506996717544
zapatos cómodos,1.6793523540588058
clubes playa,1.6783587801772295
trayecto coche,1.6747842349935411
playa maya,1.6742107010692602
museo sencillo,1.6678687088166206
recorrido lancha,1.662372124998206
abierto público,1.6582112168716665
ocã ano,1.6529790392851649
playa tomar,1.6518479145381153
cenotes cerca,1.6508553368749048
buceo agua,1.6453229897799686
lugar recorrer,1.643247605837658
tenã amos,1.6374703557655303
visita obligatoria,1.636420898755957
tiendas recuerdos,1.6297912382181892
cenote cerca,1.6206035503531768
100 pesos,1.6201872158996793
problema algas,1.612397227812425
servicio amable,1.6109628318149691
antigua ciudad,1.6089148520338274
contratar guía,1.6082053757296375
tomarte foto,1.6071390223569497
ruinas preciosas,1.6026973948834908
cenote ojos,1.5943277705811476
representativa ciudad,1.587994220625584
alrededores ciudad,1.584003928663032
visitar maravilla,1.5839992382267754
importancia histórica,1.5828796673568286
mã xico,1.5816274191381487
guía explica,1.5739875005178798
sol luna,1.572003555557044
sitio arqueológico,1.5691225333574907
