term,score
aire acondicionado,0.02981188000365891
vale pena,0.02536726764802419
personal amable,0.02199978591461081
agua caliente,0.017084467406905113
isla mujeres,0.011979205830838863
hotel bonito,0.010934906689917248
personal recepción,0.010864741807545791
habitaciones limpias,0.010621217911726016
excelente servicio,0.008528259121676193
calidad precio,0.008415993901186396
comida servicio,0.008079514066548851
amable servicial,0.008072286132338827
check in,0.007706393265082512
servicio comida,0.007618540411661202
personal hotel,0.007534839731652291
lugar bonito,0.007457988483590791
comida restaurante,0.007404944506051614
relación calidad,0.007265620459062375
cerca centro,0.0072341403879907645
habitación limpia,0.007221922627409026
mala experiencia,0.007051606836452298
cuarto baño,0.007050639273023608
centro ciudad,0.006865183319991343
desayuno incluido,0.006495927482007744
comida rica,0.006453463487811041
servicio lento,0.006373949052310084
playa norte,0.0062133513817129084
comida deliciosa,0.006207283424582263
san cristóbal,0.006134733155246999
plaza principal,0.006063158943692913
servicio excelente,0.005797847661793464
lugar agradable,0.005735236862853993
10 minutos,0.005726158060072956
personal atento,0.005705547929291045
personal agradable,0.005660437796208536
atención personal,0.005660437796208536
hotel personal,0.0055292573225808215
deja desear,0.005486215088806616
pasar noche,0.005259933490406326
personal servicial,0.005259933490406326
vista mar,0.005127826131299923
servicio restaurante,0.004964925051698028
hotel limpio,0.004876415869985747
servicio personal,0.004849044608024341
wi fi,0.00484904460802434
hotel situado,0.004564094745702199
hotel habitaciones,0.004564094745702199
hotel ubicación,0.004564094745702199
aire libre,0.0045273770395377316
lugar increíble,0.00452737703953773
camas cómodas,0.004465559915462979
atención cliente,0.004412348139416676
dreams tulum,0.00432303904545124
habitaciones amplias,0.00432303904545124
20 minutos,0.004169461163729781
precios razonables,0.004097379340190305
hotel viejo,0.004082077159165821
ubicación hotel,0.004082077159165821
precio calidad,0.004074653149439106
calidad comida,0.003953268124505246
llegamos hotel,0.003912541127788242
pésimo servicio,0.003904626107005141
servicio habitación,0.0038412090052348915
hotel estrellas,0.0038412090052348915
hotel habitación,0.0038412090052348915
lugar hermoso,0.0038092267602624847
llegar hotel,0.0037431962151352315
excelente comida,0.003619399238693614
general hotel,0.0036004345021638066
ropa cama,0.0036004345021638066
noche hotel,0.0036004345021638066
camas dobles,0.0036004345021638066
servicio amable,0.003570029237656446
arena blanca,0.0035695436456199374
merece pena,0.003554304679618197
excelente ubicación,0.0035481396001566415
gente amable,0.003548139600156641
planta baja,0.003502595530328374
habitación hotel,0.003502595530328374
comida excelente,0.0034979944788957667
hotel playa,0.00347660089680027
alojamos noches,0.003431165939910299
estás buscando,0.003426080664055705
playa carmen,0.0034094749353011013
agua fría,0.003377521092577926
hotel agradable,0.0033597535685853204
servicio hotel,0.0033597535685853204
hotel excelente,0.0033597535685853204
habitaciones hotel,0.0033597535685853204
habitaciones pequeñas,0.0033597535685853204
servicio meseros,0.0033543751688121437
riviera maya,0.0033539772887718235
chichen itza,0.0032647155141599547
luna miel,0.0032620883176509964
tuvimos problemas,0.0032620883176509964
excelente lugar,0.0032588495325014456
comida regular,0.003258849532501445
justo playa,0.003236307460359828
ambiente agradable,0.003223036854442108
recomiendo encarecidamente,0.003210029811621996
precios accesibles,0.0031923621532142523
presión agua,0.0031906186068758296
hotel boutique,0.0031906186068758296
15 minutos,0.0031867919856988685
carrito golf,0.003161903200865675
relación precio,0.003139362563721606
playa preciosa,0.0031380821940986538
lugar lindo,0.0031147518837617324
mala calidad,0.003090065319829508
zona arqueológica,0.003069564534001599
comida bebidas,0.0030427292181570854
sitio web,0.0030216744959751067
servicio cliente,0.002996107309746948
hubiera gustado,0.0029942391585962122
servicio atención,0.0029710295908071563
única cosa,0.0029710295908071563
servicio malo,0.002970723980351309
comida mexicana,0.0029539498803370654
habitaciones cómodas,0.0029501646728809184
amable atento,0.002946441631152825
comida mediocre,0.0029464416311528246
bonito lugar,0.0029251661913802583
música vivo,0.0029031241726397944
minutos pie,0.00289933588291569
vista espectacular,0.0028993358829156896
noches hotel,0.0028786720849677903
caja fuerte,0.0028786720849677903
hotel noche,0.0028786720849677903
hotel ubicado,0.0028786720849677903
habitación habitación,0.0028786720849677903
habitación camas,0.0028786720849677903
hermoso lugar,0.0028529932544112038
comida mala,0.0028035563656194787
lugar comida,0.0027880638763844597
distancia pie,0.0027813539842715222
ubicación playa,0.0027813539842715214
pasar rato,0.0027808377955855263
excelente atención,0.002778604976672837
botella agua,0.002778604976672837
ten cuidado,0.0027548127485415123
ruinas mayas,0.0027368742953649936
agradable comida,0.0027315109268095657
hotel caro,0.0027098040569082057
pasar semana,0.0027098040569082053
frente mar,0.002659402310159543
habitación baño,0.002638271372764519
noche habitación,0.002638271372764519
habíamos reservado,0.002638271372764519
