term,score
aire acondicionado,0.010181453835394655
servicio lento,0.007941059063531356
agua caliente,0.00782019393752288
lugar agradable,0.00573661277343507
ambiente agradable,0.004863603515129312
personal recepción,0.004737190273612232
habitaciones limpias,0.00463130461593509
comida rica,0.004474037533817992
lugar comida,0.004462451675017673
comida servicio,0.0043883733799595925
tacos pescado,0.004383739660077279
vale pena,0.004349716353217625
patatas fritas,0.004142516424388497
hotel bonito,0.003955909367112051
check in,0.0033628689466791753
personal hotel,0.0033628689466791753
ruinas mayas,0.0032573481967937534
ruinas tulum,0.003257348196793753
cuarto baño,0.003151855410185744
habitación limpia,0.0031518554101857416
servicio rápido,0.002880946346187758
desayuno incluido,0.002835544678508184
lugar comer,0.0027959475380878824
agua fría,0.002730163593553766
comida mexicana,0.002622154616605774
música vivo,0.002468358246828406
carrito golf,0.0024141876039806883
hotel personal,0.0024141876039806866
servicio comida,0.0023862618461284782
playa carmen,0.0023112295435779393
comida deliciosa,0.0022501981114501405
agua cristalina,0.002203676181215624
hotel limpio,0.002203676181215624
riviera maya,0.0021663598235386284
excelente comida,0.002138483954216507
agradable servicio,0.0020563742979651423
hotel ubicación,0.0019932760074936468
hotel habitaciones,0.0019932760074936468
hotel situado,0.0019932760074936468
servicio ambiente,0.0019790405581521266
playa norte,0.0019268452808637372
servicio lugar,0.0018893177782330303
comida sabor,0.0018893177782330303
dreams tulum,0.0018881176014457117
habitaciones amplias,0.001888117601445704
ingredientes frescos,0.0017988354490048632
minutos pie,0.0017829869625969746
ubicación hotel,0.0017829869625969746
hotel viejo,0.0017829869625969746
arena blanca,0.0017615014501795557
comida ambiente,0.001723274660602966
playa bonita,0.001677884075947067
hotel estrellas,0.001677884075947067
planta baja,0.001677884075947067
hotel habitación,0.0016778840759470622
habitación hotel,0.0016778840759470622
servicio habitación,0.0016778840759470622
chichen itza,0.0016652351163503028
precios accesibles,0.001632392076831279
meseros atentos,0.0016186889276840286
comida personal,0.0016186889276840286
camarones coco,0.0016186889276840282
menú variado,0.0015750781922197205
ropa cama,0.001572808926512067
alojamos noches,0.001572808926512067
noche hotel,0.001572808926512067
agua clara,0.001572808926512067
general hotel,0.001572808926512067
camas dobles,0.0015728089265120643
luna miel,0.0015728089265120639
calidad alimentos,0.0015340688748090212
excelente servicio,0.0015333686373920088
calidad comida,0.0015121274077851132
habitaciones hotel,0.0014677614993225084
habitaciones pequeñas,0.0014677614993225084
bares restaurantes,0.0014677614993225084
hotel excelente,0.0014677614993225084
acceso playa,0.0014677614993225084
hotel agradable,0.0014677614993225084
visita guiada,0.0014677614993225084
servicio hotel,0.0014677614993225084
sitio web,0.0014677614993225075
25 pesos,0.0014677614993225075
pesos persona,0.0014507760746898398
ambiente comida,0.0014386009535689408
comida sazón,0.0014386009535689408
comida pareció,0.0014386009535689408
vista comida,0.0014386009535689408
servicio precios,0.0014386009535689408
plato principal,0.0014130614959792494
lugar acogedor,0.001394854550812788
centro ciudad,0.0013843188369732319
camas cómodas,0.0013780745636825429
traje baño,0.0013627417794208046
distancia pie,0.0013627417794208046
playa privada,0.0013627417794208042
comida excelente,0.0013166812597171472
comida mala,0.0012912026976438472
personal servicial,0.0012896413541450642
lleno servicio,0.0012585714860766772
pan dulce,0.0012585714860766772
precios justos,0.0012585714860766772
restaurante ubicado,0.0012585714860766772
chile relleno,0.0012585714860766772
montón opciones,0.0012585714860766772
opciones menú,0.0012585714860766772
pescado fresco,0.0012585714860766772
